,Text,Emotion
8436,I hold one grudge.,anger
8292,I let my anger get the best of me yesterday &amp; I feed in,anger
6976,"aleesha—kitchen sink, twenty one pilots (!!)",anger
4981,@kymwhitley hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it,joy
5801,I came to work for no reason 😩🔫\nI could've stayed in bed,sadness
351,@WWE is the live event Brock vs Orton 2 this Saturday on the WWE Network? If not it needs to be! :) #wwe @RandyOrton @HeymanHustle ,anger
6062,I want to pour all my tears on someone right now. So tired of this #upset #sad,sadness
4315,@aradsliff don't know I'm from nj we are the worst on purpose. ,joy
3698,@Gibberman10 @ScottHoward42 any of y'all remember when MLB tried a futuristic jersey those were all #terrible,fear
7486,@Popstufs3 Coffee is good and view is even better 😊,joy
5838,@reillygolfpro @RealKidPoker @StacyAcey @WSOPTD no he didn't! They are obviously friends and that clouded his judgement,sadness
2132,The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear
3027,We hesitate to #live our #dream because of some unknown #fear which actually does not exist.' #AqeelSyed\n\n#LifeisBeautiful #LiveWithPurpose,fear
8660,"- Make it unaffordable for locals.\n- Sell &amp; resell among their own.\n- 'No value, for money land' for locals.\n- Local resentment.",anger
9491,Goodevening 😆,joy
5913,Probs spent a grand total of five minutes sober since Sunday evening :) #freshers,sadness
6031,I added Paul Walker on Xbox but he just spends all of his time on the dashboard.  #humor #funny,sadness
1662,@SharadK7 awaiting to see ur new avataar #rowdy #action #angry young man,anger
7774,@vivaonline Oh schade 🙁,sadness
6403,@FacMagnaAmerica  #CureForInsomnia And the left said WE were all doom &amp; gloom. The Trump Train is so much more fun!,sadness
8546,@justicemalala The Guptas is the middle man from hell. ..men with cigars sitting and plotting in the dark of night,anger
9324,@SOUNDK2022 always panic before the presentation.. &gt;.&lt;',fear
9836,"Finally its time, i have a cuppa n its time to watch what i already know will be an epic ep of Game of Thrones #bliss",joy
4478,Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n #bizitalk #bizhour #southyorkshire #MansfieldHour  #sheffieldHour #NottsHour,joy
9965,@PromilaSingh15 Thank you so much Promila aunty 😃,joy
10382,Sadly I do not have a garden so I watch just for Nigel and Nellie #beautiful  #gardenersworld,joy
2732,@siomo @NEWSTALK1010 20 says he gets reelected.....  #be #afraid,fear
7499,@duarteamanda @theseantcollins Lmao the lack of self awareness in this last tweet is genuinely awe inspiring,joy
10216,Myatt &amp; Smith open the batting! 12 from the first over. #great start,joy
905,Thatmoment you're watching #worstcelebritycooks and your bubble is burst by finding out KyleXY is gay and married😭 #nochance #KindaDontMind😉,anger
2398,procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack,fear
8444,It bugs me that people concern themselves so much with what other people CHOOSE to do with their money 😂🙈,anger
2274,I have no #alarm preset #life will #wakemeup,fear
6029,"Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓#blog #selfhelp #depression",sadness
7154,@mickyrivera29 interesting but a transfer too costly. You can only irritate others when you get a top talent for a low/ avg fee,anger
21,I just love it when people make plans for me without actually including me in this process #rage,anger
7468,@morninggloria I came for the 'damn boy' jokes but stayed because you are great at your actual job 👍🏾,joy
3138,And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,fear
3473,@tomsteinfort expected i thought #fear,fear
9610,"Koi to uso is off to a great start, enjoying it alot. Hope i don't lose interest midway just like i did with the manga xD",joy
1313,Brendan Rodgers looks fuming 😭,anger
2000,Patriot rookie QB Jacoby Brissett  to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.',fear
10428,I have to bury another person this year at the same cemetery my father and nephew are buried in. #great,joy
7873,All these swerve bums are fucked when madden 18 comes out #madden18 #EAPLAY #eamadden #mut18 no skill ass players with that bitch shit,anger
714,"@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and",anger
2248,@Owlman2011 @charitypricey @jon_newsome @PRAWNSANDOWl @smith_alister @MikeConnelly9 average 22000 for the massif... #shocking,fear
8629,Do not judge between people when you are .,anger
6936,Saw my first Larsen trap today with stressed magpie. I NEVER EVER want to see that again  #angry #distressed #wildlife,anger
1931,"Just Laying Here, Can't Sleep 4 Some Reason #restless",fear
5567,@BBCSport too dull for the UK.,sadness
4738,Fee otherwise tricks: palm oil delegation mt jaunty resident: TZxCHLdAQ,joy
1623,@mofspades or maybe he's like my dad and no hair grows on his body... (I will always resent my mother's genes for taking this from me),anger
836,"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund  #rage",anger
9897,Too much niggas knew where my mum lived so we moved her out 😊 definitely one of the best feelings recently lol,joy
9297,@ABC We miss James Comey....he seemed to bring some order to the horrific chaos. We pray for you dear American friends... and Trump voters!,fear
2091,Am I the only one with parking sensors who still manages to reverse into things? ,fear
2367,@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. #intimidated,fear
1428,someone kik me @ montanashay_ \n#kikme #snap,anger
4516,"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'",joy
1044,"@lydss_xx @tharealversace @fatbellybella fuckin luv incense, this is me as fuck 😂",anger
10788,Weather report: murky up north.,sadness
5052,@kwelbyroberts they will come and you will rejoice at their arrival.,joy
8283,@_mxthew I said that once and my pals ripped me a new arsehole 😊,anger
1596,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger
3240,This is awful,fear
9820,Life is a #blessing,joy
1171,13 hour @bus rides make me  #sorry,anger
3582,these confident bitches should scare you the most,fear
206,@esraalajmy huff btw ty😔,anger
6835,Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.  Sydney J. Harris,sadness
5219,Being playful as shit😤,joy
2817,@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do... #sike #losers ,fear
5217,"“When we give cheerfully and accept gratefully, everyone is blessed.”―Maya Angelou",joy
3917,terror attacks in usa pay no mind lol,fear
7234,.@PreetBharara's Twitter barbs are both insightful and delightful to read; hell hath no fury like a crusading prosecutor scorned,anger
7039,So now I have to buy a whole new computer ,anger
10144,Chicken n stuffing going in the crockpot for din din. #getinmybelly ,joy
1074,and i will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers,anger
6026,and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness
3536,Changing my hair again #shocking,fear
1317,@pxrfectpeach it's got her little pout,anger
2765,I'm just tryna watch horror movies and nap all day,fear
8139,@ANI_news Wot an insult.,anger
6712,"When it comes to Syria, I get very fucking annoyed at pessimism, like I get full on triggered. Optimism or gtfo.",sadness
10230,@doddledisney You're adorable 😭,joy
5216,"By the way, I'm wearing the smile you gave me today. \n #you #me ",joy
6555,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,sadness
10481,@MinxieButt Not even from our own kind 😅 But I don't need any anons if I can feel the appreciation from fellow shippers every other day 😊,joy
8015,@thequippster Okay but like why haven't you told me about this yet? ,anger
4555,@EducatedNPetty white pricks that were laughing at your use of language won't be crying over your coffin but rejoicing that you're another,joy
1529,"@donna_bellav @SoniaRayS @gig_aholic He looks especially lovely. Sadly, I do not *removes potentially indignant Mr D from convo*",anger
4402,"@TheGoatShow @GameGrumps now that I have been sucked into this wormhole of hilarity with no escape, I can say how weird and accurate this is",joy
8901,Looking forward to @CongletonFC playing @FCUnitedMcr tonight. 7.30 start  #comeonthebears,fear
9626,#attacked in the #pool or #lake #swimming? Put your hands around their neck and push em down. #yoursizedoesntmatter bc #water is #buoyant,joy
7182,"@devlinjim @SophieLong01 What about Daniel 7:9? - his throne was like the fiery flame, and his wheels as burning fire.",anger
9849,"After 10 days of suffering from Dengue, I'm finally good and going. 😎 #rejoice",joy
10753,alec is a sad baby when he wakes up without magnus next to him n I'm screaming,sadness
2043,So I just opened This message Brooke sent me got me I am weak as the fuck 😩 she is a fucking bully for no reason 😂😂😂😂😭💀,fear
5005,The amount of laughter ready to leave my body if United lose is unreal,joy
1343,630am meeting Olympic House #10golds24 .  #neverquit #believe #dreambig #TeamTTO #going4gold,anger
6544,The #pessimist complains about the wind; the #optimist expects it to change; the realist adjusts the sails.' - William Arthur Ward\n#IGNITE,sadness
7129,The sound of rain is pretty peaceful when you're in a very annoyed mood 😅,anger
4722,Happy birthday @iRidhiDogra keep smiling always.Wishing you a wonderful year ahead mam,joy
4897,"Ooh #hygge, candles, jasmine tea &amp; #GBBO ",joy
3216,"@DSDambuster just finally started #homefronttherevolution, what did you all do the story and gameplay??? #terrible #wasteofmoney",fear
7216,Literally hanging on by a thread need some taylor ray tonight loving a bad dog sucks #taylorrayholbrook #hurting @TaylorRaysTweet,anger
7877,@GorjusGeorge5 @MrBridger1905 I'm fuming that you're fuming 🙄 #fuming,anger
8847,@Ritsakuru awe sorry na,fear
9087,Everyone loves #horror #monster #zombies #clown #scary #Dracula #frankenstein #DarkSouls #darkside #IT #Metal,fear
8307,"@rosesagarhardie @JuliaHB1 The sovereign grant pays for the royal family, comes from the 100% tax she pays from the crown estate ",anger
8735,@LondonEconomic Sometimes our judiciary just leaves you breathless and speechless.,anger
9684,Genuinely and perfectly #happy,joy
4229,@Lil_PowWow @jweiler0528 More fat = more buoyant. Day 1 water stuff,joy
4637,love to play underlord while listening to cheery anime music,joy
1977,@britishairways term 5 security queues at arrivals #shocking,fear
985,@GarthJennings loved #sing #tiff but 1 q there is 1 japanese line but obviously spoken by non japanese. no way to find japanese for 1 line?,anger
7254,@theAliceRoberts @FryRsquared @AdamRutherford They've obviously never tried 'repressing' a red head #fiery,anger
10436,@JenBhen @jenwinget Cos she isn't afraid not to look as aesthetically pleasing to the audience.,joy
5824,"the grave of a beat, a bravehearted cave lover, cage lover, sage #lover who made #soup of you, twisted to spoony #melancholy, spikes, spices",sadness
6941,@GirlPosts @_matdtaylor actually how annoyed you get 😂,anger
3280,@60DaysInJail Dafron is hands down the biggest loser on the planet!!! Typical  #lifer,fear
4519,Boys of Fall makes me miss cheering on Friday nights much sooooo bad #bulldogslways🐾,joy
1639,Someone throw a snap dance party for LO. Rest Up big Homie 🙏🏾,anger
7972,@AlaskaAir as a long time Gold &amp; near Million mile member just had a terrible customer service experience #disappointing,anger
632,"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger
9623,@Dansgaming YES!! I love making my own coffee drinks at home! #super  !!,joy
3659,Can we start a 'get Chris Sutton off our tv campaign? Spread the work  #pundit #noclue,fear
9512,"@Zara_Larsson90 @zaralarsson Can you check the date of the screenshot , I'll search for it in YouTube 😅 please",joy
7354,@meppenbrock @nypost Non-story.\nDaughter tripped home alarm. Cop responded.,fear
9029,@geoffschwartz agreed but it had tessie by dropkicks playing outside of gameplay.  #awful,fear
4143,@Ginger_Naylor *Connie came back in* Hey you seem a bit more lively,joy
820,@TaraSetmayer @oliverdarcy AA have the right of passage when it comes to the 'N' word.  Why should he insult him in his church.  Ignorant!,anger
1713,#smackdev #ptp #start oh yeah!,fear
4345,the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol,joy
7513,"bonless sirlion tips,mixed veggies browngravy &amp; homemade mashed potatoes #inthekitchen  #latenightmunchies #yummy #getuagirlthatcancook",joy
9765,When you are with your friend and you are still laughing 😂🙌🏻🔝💕 @Tereza_Gray #FriendsForever #laugh #summer,joy
3638,You have a #problem? Yes! Can you do #something about it? No! Than why #worry,fear
9794,Remember what God says about you is most important #food #smoothie  #yummy #Melita,joy
8011,I'm fuming I wanted Hamez,anger
9860,@LeaMichele We miss you all with you Lea ❤️💕 #glee,joy
669,"Yeah I'm hot nigga, they say im burning uhhhhh",anger
1144,#ParentsofAddicts: let #wellness be your #revenge! -Al Anon speaker,anger
10861,I don't know how to feel about the season finale of .,sadness
1142,"Oh my. Watching #rage. It's been like, ages",anger
5708,That's how you start a season that's how you open the show #show #them #how #dark #hell #can #get #Empire,sadness
1389,Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday  #politeness,anger
8691,@jayteemuro Man people wont mourn the 9 chaps beheaded by terrorists. But they will mourn a corrupt killer politician,anger
9189,"Is it too early in the year to watch SILENT NIGHT, DEADLY NIGHT and BLACK CHRISTMAS? #horror",fear
2908,"Goodmorning fam, do you know that your critical condition pave way for your miracle, so #dont #worry #be #happy",fear
3268,.@morningmika &amp; her @HillaryClinton Super PAC @Morning_Joe @MSNBC in full #panic mode over @realDonaldTrump #momentum!\n\n#TrumpPence16 #MAGA,fear
10117,"wow, i really can't believe four years already went by. four years. jeez. we miss you big guy #4yearswithoutcory #corymonteith #glee",joy
6445,ah #lost #mah #train of thunk.,sadness
4449,"To insure good health: Eat lightly, breathe deeply, live moderately, cultivate cheerfulness, and maintain an interest in life.",joy
6101,@HillaryClinton @TheDemocrats It's ok 2 be disgusted or dishearten with presidential race but don't let that stop u from voting IT MATTERS,sadness
777,@jbanks88 offense can't score 3 redzone trips no points n lbs can't pull flags n i missed a flag that lead to a td dat took da league,anger
3844,@CP24 And I hope when the police met him at the subway that they took him straight to jail 😕 #awful,fear
3341,@TheBadgerBoy check out the article on @SaintSkipper5 on @dailyecho ,fear
1000,@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.,anger
6746,#RIPKara i could have seen her at a local mall or any school football games. im disheartened,sadness
8529,"@jamaicajewell burning, throbbing, stabbing. Can't exactly explain how it feels but this damn sht is fvking painful for real",anger
4647,@niceoneWern @Alotta_Pain the gleesome threesome,joy
6458,I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression,sadness
3626,Jk I'm not a loner just really shy 😅,fear
3962,"#happiness #recipe: an open mind, #laughter, a kind #heart &amp; ",joy
4271,Swear I got the most playful ass bf ever 😂🙄,joy
2122,How had Matty Dawson not scored there!!!!! ,fear
8681,ebullient [ih BUL yunt] adj.boiling; bubbling with excitement; exuberant. A boiling liquid can be called ebullient. Excited or enthusiastic.,anger
72,@GreatFallVoyagr #bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !,anger
1283,My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger
5126,@MoAmali @awosss @Arsenalman2011 listen I dn't subscribe to this team coq Team xhaka stuff. I like all our players. Depth has me elated,joy
5294,Woah. That overtime was exhilarating! Out of my seat and the hands on mackinnon wow #WCH2016,joy
2120,Got to be up in 4 hours to go back to work #cantsleep #excited ,fear
8263,Edge of my seat @GameOfThrones loved it #dragonsontheWall ,anger
7817,"@ShanderShow, love the Cuz, but he takes umbrage at people who are not all Eagled up.",anger
10791,"@Caprica Ah that's a neat idea, will check that out - might makes me more depressed about my slowness tho 🤣",sadness
4668,The #most wasteful day is a #day without ,joy
9515,Asked my client to take a twitter photo at the home away from home. He was happy to oblige 🍑#redlightsmakeeverythingbetter,joy
2838,"Regardless of your age or station in life, it all comes down to one simple truth: you just have to #start. - Jon Acuff #inspiring #quote",fear
7214,@andyfleming83 Bastard squirrels. 😡,anger
9737,@KOlusola @CurlineO Just look at those happy smiles! Beautiful! 💛,joy
7407,"I'm pre happy with my Arcadian run, beat a few people I was scared of",fear
6115,"Sky news still pushing the Brexit gloom line, managing to ignore the fact it's simply not happening. 'But in the future.....'",sadness
1008,when you find out the initiative isn't even a thing 😧 #revenge,anger
8110,One chair is having the munchies. Are Alpacas edible? #afraid #WhattheFAC #SalientFAC #Salient2017,anger
10470,@bbcbristolsport so proud of City...2 Bristol boys scoring and a great performance...where's the cider  #OTIB,joy
8613,Ot6 still exist? #julid #deletesoon ,anger
7840,Don't justify Terrorism as communal hatred. #AmarnathTerrorAttack is sheer Act of cowardice. Let's unite together against terrorism. Luv all,anger
9244,"We are hard-pressed on everyside, yet't crushed; we are perplexed but't in despair; persecuted, but't forsaken; struck down, but't destroyed",fear
9616,Dick Gregory &amp; Jerry Lewis 2 greats who's creativity and imaginations brought smiles &amp; laughter to place not always illuminated. ,joy
8172,my hair now matches my attitude #fiery,anger
5480,@ContourCosmetic well done ladies! A great award for an amazing team. A delight to present the award to you.,joy
3634,Ellie from @myspanishboots is here to answer your questions! Don't be shy - she loves talking about #equestrian fashion ;-) #equestrianhour,fear
2028,Who's afraid of the clowns???\ncomment down there....,fear
9343,#My #Mind is free of all aspects of #fear and #pain &amp; talk with me to produce #positive thought.\n#affirmation #thought #focus\nPlease retweet,fear
6056,@hyattd335 #Grateful for #novel #award #promo #RT - #Blessings DeWayne Hyatt #Hippie who loves to grind on the #blues #Florida,sadness
4119,Accept the challenges so that you can feel the exhilaration of victory.,joy
3871,"don't #worry, earthlings\ni'm not real..\n..OR AM I?",fear
8558,I'm #mad about it,anger
911,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",anger
9781,"A SPELLBINDING performance by @DebsNewbold. Electric physicality and sheer awe. A pleasure to watch, thank you. #ueafly",joy
3132,Paranoia is a fear every races has,fear
6001,"them cold, dark nights are slowly creeping in 🌌",sadness
6365,@JUSTICESLUT420 sadly this sort of poster died by the 90s afaik,sadness
252, I can't guess if you holding a grudge against the best',anger
5589,@tysonwaters and @WatersWife 'Being over it.' Why USA has #panicattacks #anxiety #depression and so much medication!,sadness
10516,"Why was 6 afraid of 7?\nCause 7 ate 9. BUT, why DID 7 eat 9??\nBecause you should eat 3 squared meals a day! 😜 #jokes #meme #dankmemes #funny",joy
3688,"3 #tmobile #stores, #original #note7 #customer and zero #results... What's going on guys? #terrible #customerservice #2hour #waittime",fear
10510,It's kind of shocking how amazing your rodeo family is when the time comes that you need someone ,joy
8082,That maybe she just lost her job in the recession and is trying out a new career path,anger
601,Will give #sleepnumber another chance for customer service. Today's growl is 15+ minutes on hold. Overall bed + service = very unimpressive.,anger
5867,The most depressing part of being ill is that your taste goes 😫,sadness
5968,Higginbotham's flippant dismissal of any worries around Carrick's lack of pace is dismal. Against nimble midfielders Carrick will be exposed,sadness
2952,Let's refuse to live in #fear - #sotoventures,fear
1371,Its worth noting that despite the animosity between the US president and the Israeli president they both behaved as gentleman.,anger
8478,"@TheGrottoPod @bquinnterest 1,349 for me, but a new day dawns on my child's futon. ",anger
9853,"““In your anger do not sin”: Do not let the sun go down while you are still angry,”\nEphesians 4:26. #blessed #faith #christ #peace",joy
1058,@Dominos_UK worst thing is i have confimation from them ,anger
4735,"And the weathers so breezy, man why can't life always be this easy?",joy
3824,Biggest #THREAT 2 #GLOBAL #STABILITY? #climatechange #food #water #security #terrorism #russia #war #trump #clinton #geopolitics #korea $vwo,fear
7686,@BernadetteAlly cute smile!,joy
3967,@AllredMD @KerryCallen @thismanthispete Kirby's Black Panther in a cool animated panel.,joy
5107,"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy
790,So angry I wanna cry😢😢😢,anger
3803,Have to say that third City kit is fucking awful. Someone at Nike wants shooting.,fear
9474,Beautiful morning at the beach on Anna Maria Island with my wife. #vacation #blessed #happy,joy
8266,"@Impeach_D_Trump He's still fuming over his massive failure at G19 meeting. The gravity of Junior's fuckup hasn't hit him, yet.",anger
8455,@mattyglesias See also: every sting operation ever.,anger
7532,There's much to see in this world full of glee.,joy
2693,"@NancyErvin4 The most ghastly thing is the silence from the #AARP. Trump says he won't touch SS, but his tax plan belies that.  Huge cuts.",fear
1749,#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible,fear
3272,What did y'all do to your app @NFLfantasy   It's horrible.  #horrible.  Worst except once ever,fear
4777,"While I was walking, a little boy in a red shirt(5/6 years of age) shouting from a distance of 3 meters, in a jovial manner saying...",joy
2129,@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear
10602,An early night for me love you ,sadness
3116,Can't even believe just seeing you set my anxiety off 🖕,fear
4865,15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga  #stretch,joy
5330,@PixelMonsterYT @TeamGE0 @IZEDEPTIC @ztumtum @CrimtideTV @LtGrandslam @Slinkercorn Bahahahaha Dean looks hilarious and damn I got fat,joy
1905,I was literally shaking getting the EKG done lol 🙄,fear
1828,Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity ,fear
2943,Good Morning!!!\n\n#leadership #healthcareIT #socialmedia #connector #ceo #writer #AI #EQ #security #bigdata #Growthhacking #tech #fear,fear
7596,“#Woe unto #you that are #full! for ye shall #hunger. #Woe unto you that #laugh now! for ye shall #mourn and #weep.”\nLuke 6:25,joy
6284,My cell won't hold a charge 😢 #sadness So should I...,sadness
987,Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,anger
9688,deni &amp; i on here be4: known as friendship goals by all our adorable mutuals 💘💗🙆🏻✨!⭐️™\nus now: tweets three times a day about depression,joy
11056,Are you serious?,sadness
7417,"Repeated terror attacks,no1 can define the religion of terrorists.\n1 guy arrested,Terrorists/ism got it's religion.",fear
3062,Set n alarm '@Innocentia_T: I wanna nap but I'm scared I'll wake up tomorrow .',fear
1239,snap music kept me from running into traffic 2005-2007.,anger
8126,Batman like to enrage the heat on the new dimity frock and proposed marriage to me! Polly Shaw will lay me a CBGB crazy balled,anger
10754,#GameOfThones how can you top that next week #heartbreaking,sadness
187,The best revenge is massive success. –Frank Sinatra,anger
2006,"Anytime @perezed gets near a mic, someone needs to smack him w a bat. @BBTN #awful #marblesinmouth",fear
8137,"@NextHelp @nextofficial disappointed...early VIP sale slot, full basket. Site crashed. Twice. Lost my order. #annoyed #nextvipsale",anger
1003,"@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.",anger
10680,Cochi's face &amp; manner never show sadness. But the guitar always in his hands will play songs that will make you weep. #blues #WIPTruthOrDare,sadness
9565,Just #snorted #laughing @CommunityTV #outtakes @donaldglover @dannypudi #hilarious Best duo ever! @community,joy
9521,They've cleared the warehouse floor at work and there's sooo much beautiful smooth concrete 😭,joy
4692,it was both lively &amp; lovely @crumblepie15 @buryprofs @DittoBistro #BuffnPolish,joy
2996,@bothsocial Thanks for the follow! Hope you’re having a terrific day!,fear
7674,well my day started off great 🙃 the mocha machine wasn't working @ mcdonalds.,joy
11024,@PalaceResorts hi I have booked your resort for the start of October. I've heard the golf course isn't available?? #upset,sadness
5911,Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness
3899,"Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear
1012,Everton not playing and fume on here have day off,anger
578,@EagleGiles23 @tgilmore_92 what I miss? ,anger
10258,When you are able to treat your queen the things that she wants. Such a pleasing feeling,joy
8820,Why is an alarm clock going 'off' when it actually turns on? #alarm #alarmclock #ThursdayThoughts,fear
862,"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",anger
1910,"@mylittlepwnies3 \n&gt; #terrorism coffee addict\n&gt; blocks cats, writers, artists and hedonists",fear
1649,Sometimes the best motivations come from 'proving them wrong' #energy  #MotivationalQuotes,anger
920,@JamieRJN She's all over the political map in her relentless pursuit of power.,anger
4404,@u4uzoma Boss I see you as someone that is jovial and funny. Tho av not met u in person.,joy
7222,Sarah is a complete lunatic. How Chad is still giving her his time is beyond me. #cbb #mad #crazy,anger
9929,"@tays5h happy birthday baby, i wish you happiness in liiiiife☁💙✨",joy
5891,Synth backing tracks = sadness\n#depresspop #dark #+++ #alt #fuckingmeup,sadness
286,"This anger inside I turned to fuel, I burned and watched myself spin down, like inferno types,",anger
6113,"Oh, I should just 'get over' my #depression and 'be happy?' Don't you think I've tried that thousands of times already? You're not helping.",sadness
10494,I start my lpn program this October 😌 #blessed,joy
238,@MarkTOByrne I offered @WholeFoods @amazon @CheapAir gold or silver but they said Nah... #bitcoin #snap,anger
4066,@MaxVenator We've had no foreign policy but have had goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf.,joy
7958,Does anybody mom annoy them just by talking and she probably not even trying to annoy you 😂,anger
8103,"The hair is getting lighter but in certain light people point out that my baby is a ginger. I know , I am too lol #fiery #sassy",anger
6280,Headed to MDW w/ layover in SLC. Got off for food. Wrong move. Bailed on my food &amp; barely made it. @SouthwestAir #WannaGetAway #Contest #sad,sadness
8426,7. I have alot of opinions about alot of things. I just dont say it because i'm gonna 'add insult to injury' ☺☹,anger
9305,@XDeviantOnex We took a trip to Ireland right before we bought our home.  No way I could do it now.  I dread taking 2 days off of work.,fear
2369,@outmagazine jesus heck you're awful,fear
9489,"Just seen recent pics of Liz Hurley in swimming costume , she looks amazing 😍 #beauty ",joy
10126,Be the very best you can be. Believe that you can be the best version of you there is. You are the best! #theonlyyou  #iinspiredu,joy
4775,@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future  #gottawearshades #LetsGoYankees,joy
7451,It's a wonderful thing to be able to start your day with laughter.,joy
4411,i swear people dont wanna see me happy like they will try to do anything to fuck up what i got going,joy
148,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless",anger
8190,"We're in the bathroom and you perch on the sink,\nI begin to infatuate, exasperate, resuscitate.",anger
7611,@NisaLocally @CocaCola_GB thanks love share a coke and holiday with my family  #smile for a chance to #Win :),joy
1700,@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,anger
8653,'If I allow my worry to consume me - all that I worry about will be given the opportunity to manifest.' ~ #Eleesha ღ #quote #worry #trust,anger
4381,"I've watched @ScreamQueens' 2nd Season's 1st episode twice already. And here I am, still joyful, planning on watching it again.",joy
10994,OMG my darling best friend's hubbie died today whilst on holiday abroad. #shocked #tears #grief #sosad,sadness
566,Nahhhhhh @konanplaydirty snap story has got me bussing up 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,anger
433,@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox 😅 I get raging migraines without coffee :/,anger
6400,@brawl2099 See your primary care doctor. They can prescribe meds and refer you to a psychiatrist for eval. Don't mess with depression.,sadness
3373,Look at me. Made it through the day without a meltdown. ,fear
2865,Thoroughly enjoying AHS tonight. #ahs #horror #americanhorrorstory,fear
1049,I'm just doing what u should b doing just minding my business and grinding relentless @LITO615,anger
4356,I'm watching joyful noise for 100000000 time cuz I love this movie and @KekePalmer,joy
4365,"Lmboo , using my nephew for meme #hilarious",joy
8886,@Arquipimp 😂😂😂😂\nU mean overprice English clubs\nReal Madrid see bayern as no threat then look 😂,fear
8274,@Originalmalik2K @youFamousEnough @AnthonyMuraco Gg bro shouldn't have lost but it's cool,anger
6272,My producer is mixing and mastering the songs now for #murky #notebook #mixtape\nThe tape will be out soon for free download 🔥🎶💨💯,sadness
2438,"I wish I could fast forward 3 months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure ",fear
9309,"@ANI_news Sir, what about 2G, 3G, 4G, Coalgate, scams Parliament Attack, Mumbai terror attacks despite intelligence input.",fear
3591,@alivitali that's what I'm afraid of!,fear
4243,"The birds chirp , the sun shines and the wind chimes chime. There was once a smile on this face.",joy
8141,Up early. Kicking ass and taking names. #offense.,anger
2653,"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit #horror",fear
1048,can't believe Achilles killed me! #angry,anger
496,Leveled at the half. Much better offense expected in the second half,anger
1499,@Toucherandrich there was a US diver named steele johnson. i'd like him barred from the olympics. #offended,anger
